STATE,YEAR,GRAIN,TEMP_MEAN,TEMP_MIN,TEMP_MAX,PCP_SUM,PDSI_MEAN
ILLINOIS,1895,41.0,49.708333333333336,7.4,86.5,31.15,-1.6875
INDIANA,1895,36.0,49.9,8.5,87.3,30.5,-2.6675
IOWA,1895,39.0,46.10833333333333,0.1,85.1,26.33,-0.8958333333333334
MINNESOTA,1895,30.5,38.608333333333334,-11.2,78.9,22.67,-0.1841666666666666
MISSOURI,1895,37.0,52.925,12.2,86.7,41.35,0.5575
NEBRASKA,1895,16.5,46.675,4.7,85.3,18.95,0.5866666666666667
ILLINOIS,1896,42.0,52.2,20.8,85.8,35.95,0.3408333333333333
INDIANA,1896,39.5,51.9,20.1,85.1,40.86,0.215
IOWA,1896,43.0,47.4,11.8,84.4,36.78,1.0825
MINNESOTA,1896,30.5,38.725,-2.1,80.1,30.84,1.4683333333333335
MISSOURI,1896,29.5,55.38333333333333,22.9,88.8,40.77,1.895
NEBRASKA,1896,37.5,47.85833333333333,12.9,86.0,25.49,1.6916666666666669
ILLINOIS,1897,34.0,51.4,15.7,87.6,35.71,-0.3191666666666666
INDIANA,1897,30.5,51.24166666666667,15.4,87.4,39.3,0.5275
IOWA,1897,33.5,46.56666666666666,6.4,87.1,26.23,-0.4466666666666666
MINNESOTA,1897,28.0,38.575,-7.3,81.5,27.3,1.3325
MISSOURI,1897,26.0,54.725,18.7,90.4,41.03,0.15
NEBRASKA,1897,30.0,47.583333333333336,9.6,89.1,22.74,2.668333333333333
ILLINOIS,1898,31.0,51.3,16.9,86.8,46.79,2.3041666666666667
INDIANA,1898,38.5,51.85833333333333,18.7,87.8,45.52,1.4708333333333332
IOWA,1898,36.0,46.708333333333336,7.4,85.9,30.09,-2.0475
MINNESOTA,1898,30.5,39.59166666666667,-2.7,80.6,23.91,-0.4116666666666666
MISSOURI,1898,30.0,54.125,18.3,86.7,54.57,2.9408333333333334
NEBRASKA,1898,21.0,47.11666666666667,9.5,87.4,20.0,0.7566666666666667
ILLINOIS,1899,38.8,50.81666666666666,8.6,87.8,32.56,-0.38
INDIANA,1899,39.8,51.35,11.3,87.3,34.51,-1.2308333333333332
IOWA,1899,39.1,46.45,0.4,85.4,28.45,-0.6308333333333334
MINNESOTA,1899,32.8,38.333333333333336,-10.0,81.1,29.48,2.0633333333333335
MISSOURI,1899,28.1,53.56666666666667,9.0,90.7,37.89,1.3108333333333333
NEBRASKA,1899,28.8,46.35833333333333,-1.8,86.4,19.23,-0.9858333333333332
ILLINOIS,1900,40.0,52.09166666666667,12.4,90.6,35.29,-1.4141666666666666
INDIANA,1900,41.5,52.36666666666667,14.9,89.0,36.62,-2.111666666666667
IOWA,1900,45.0,48.40833333333333,2.7,88.4,35.44,-0.0591666666666666
MINNESOTA,1900,33.0,41.21666666666667,-9.4,82.9,27.65,1.1841666666666666
MISSOURI,1900,29.5,55.175,15.1,92.3,39.49,-0.2041666666666667
NEBRASKA,1900,26.0,49.791666666666664,7.6,89.4,22.45,-1.5158333333333334
ILLINOIS,1901,24.0,50.78333333333333,11.7,95.7,25.52,-2.8575
INDIANA,1901,22.0,50.43333333333334,12.5,93.7,30.57,-3.026666666666667
IOWA,1901,28.5,47.94166666666666,5.8,96.3,24.5,-1.4175000000000002
MINNESOTA,1901,27.0,40.108333333333334,-4.4,84.0,24.49,0.0316666666666666
MISSOURI,1901,10.0,54.95,18.0,99.9,25.6,-2.813333333333333
NEBRASKA,1901,14.0,48.65,7.9,96.4,22.45,-1.5975
ILLINOIS,1902,41.0,50.625,9.1,86.5,42.79,-0.4841666666666667
INDIANA,1902,39.0,51.00833333333333,10.0,86.7,40.9,-0.7475
IOWA,1902,38.0,46.59166666666667,6.0,83.2,43.78,1.2283333333333335
MINNESOTA,1902,23.0,40.09166666666667,0.3,80.4,27.17,0.6475
MISSOURI,1902,39.0,53.56666666666666,13.4,87.6,45.58,-0.88
NEBRASKA,1902,32.5,47.34166666666667,10.0,84.3,27.77,0.9066666666666668
ILLINOIS,1903,35.5,50.15833333333333,13.0,87.0,34.64,2.005
INDIANA,1903,35.0,50.25,13.0,86.6,37.11,0.0891666666666666
IOWA,1903,32.5,46.24166666666667,7.3,83.6,35.43,4.165
MINNESOTA,1903,27.5,38.016666666666666,-4.9,77.4,31.14,3.3708333333333336
MISSOURI,1903,29.5,52.975,18.8,88.1,41.36,2.6341666666666668
NEBRASKA,1903,27.5,46.791666666666664,7.2,84.6,25.68,4.2683333333333335
ILLINOIS,1904,39.0,48.85,9.8,83.8,37.18,1.115
INDIANA,1904,33.0,48.65833333333333,10.0,84.0,38.0,-0.2933333333333333
IOWA,1904,39.0,45.26666666666667,2.8,81.4,27.94,0.8083333333333335
MINNESOTA,1904,25.5,37.3,-12.9,76.0,24.91,3.2175
MISSOURI,1904,26.0,52.71666666666667,16.1,84.8,40.95,1.7958333333333334
NEBRASKA,1904,33.0,47.80833333333334,9.0,83.8,22.49,3.2358333333333333
ILLINOIS,1905,42.0,50.3,7.6,85.6,37.04,0.1458333333333333
INDIANA,1905,42.0,50.25833333333333,8.9,84.4,42.03,0.285
IOWA,1905,41.5,46.25,-0.4,85.1,36.11,0.9833333333333334
MINNESOTA,1905,34.0,39.09166666666667,-10.2,78.6,32.32,3.7925
MISSOURI,1905,34.0,52.85,10.1,87.2,47.11,0.8641666666666667
NEBRASKA,1905,34.0,46.73333333333333,2.4,87.0,30.57,5.1066666666666665
ILLINOIS,1906,39.0,51.40833333333333,17.0,87.1,36.83,0.1241666666666666
INDIANA,1906,41.0,51.375,15.4,86.3,39.23,0.2391666666666666
IOWA,1906,45.5,47.46666666666667,11.1,84.7,31.49,0.4116666666666666
MINNESOTA,1906,34.0,39.90833333333333,-2.5,78.8,29.53,3.7883333333333336
MISSOURI,1906,32.5,53.75,20.6,86.7,40.03,2.2516666666666665
NEBRASKA,1906,34.0,47.71666666666667,14.1,84.8,26.18,5.339166666666667
ILLINOIS,1907,39.0,50.46666666666667,19.2,86.0,40.76,1.9975
INDIANA,1907,36.5,49.75,18.1,84.7,44.31,2.124166666666667
IOWA,1907,35.0,46.39166666666667,8.9,84.2,31.6,1.1900000000000002
MINNESOTA,1907,27.0,37.49166666666667,-11.3,78.9,22.72,2.9600000000000004
MISSOURI,1907,31.0,54.225,22.6,88.7,40.4,1.7566666666666666
NEBRASKA,1907,24.0,47.525,8.6,86.6,19.98,4.0125
ILLINOIS,1908,35.0,52.291666666666664,18.8,86.2,35.44,0.2308333333333333
INDIANA,1908,30.5,52.125,18.5,86.8,33.36,-0.4108333333333333
IOWA,1908,38.0,48.333333333333336,12.5,84.2,34.74,2.1141666666666667
MINNESOTA,1908,29.0,41.13333333333333,1.8,80.1,27.95,2.27
