STATE,YEAR,GRAIN,TEMP_MEAN,TEMP_MIN,TEMP_MAX,PCP_SUM,PDSI_MEAN,GROUP,GRAIN_DETRENDED,TREND
ILLINOIS,1895,41.0,49.708333333333336,7.4,86.5,31.15,-1.6875,0,11.265874125874461,29.73412587412554
INDIANA,1895,36.0,49.9,8.5,87.3,30.5,-2.6675,0,6.01482517482566,29.98517482517434
IOWA,1895,39.0,46.10833333333333,0.1,85.1,26.33,-0.8958333333333334,0,5.7208391608393185,33.27916083916068
MINNESOTA,1895,30.5,38.608333333333334,-11.2,78.9,22.67,-0.1841666666666666,0,5.3741258741260935,25.125874125873906
MISSOURI,1895,37.0,52.925,12.2,86.7,41.35,0.5575,0,13.095524475524655,23.904475524475345
NEBRASKA,1895,16.5,46.675,4.7,85.3,18.95,0.5866666666666667,0,-6.949790209790109,23.44979020979011
ILLINOIS,1896,42.0,52.2,20.8,85.8,35.95,0.3408333333333333,0,11.881075174825583,30.118924825174417
INDIANA,1896,39.5,51.9,20.1,85.1,40.86,0.215,0,9.172967657343179,30.32703234265682
IOWA,1896,43.0,47.4,11.8,84.4,36.78,1.0825,0,9.410476398601645,33.589523601398355
MINNESOTA,1896,30.5,38.725,-2.1,80.1,30.84,1.4683333333333335,0,5.01387674825196,25.48612325174804
MISSOURI,1896,29.5,55.38333333333333,22.9,88.8,40.77,1.895,0,5.410664335664535,24.089335664335465
NEBRASKA,1896,37.5,47.85833333333333,12.9,86.0,25.49,1.6916666666666669,0,13.967198426573503,23.532801573426497
ILLINOIS,1897,34.0,51.4,15.7,87.6,35.71,-0.3191666666666666,0,3.49627622377659,30.50372377622341
INDIANA,1897,30.5,51.24166666666667,15.4,87.4,39.3,0.5275,0,-0.16888986013941576,30.668889860139416
IOWA,1897,33.5,46.56666666666666,6.4,87.1,26.23,-0.4466666666666666,0,-0.39988636363614205,33.89988636363614
MINNESOTA,1897,28.0,38.575,-7.3,81.5,27.3,1.3325,0,2.153627622377826,25.846372377622174
MISSOURI,1897,26.0,54.725,18.7,90.4,41.03,0.15,0,1.7258041958044146,24.274195804195585
NEBRASKA,1897,30.0,47.583333333333336,9.6,89.1,22.74,2.668333333333333,0,6.384187062937144,23.615812937062856
ILLINOIS,1898,31.0,51.3,16.9,86.8,46.79,2.3041666666666667,0,0.11147727272759766,30.888522727272402
INDIANA,1898,38.5,51.85833333333333,18.7,87.8,45.52,1.4708333333333332,0,7.489252622378103,31.010747377621897
IOWA,1898,36.0,46.708333333333336,7.4,85.9,30.09,-2.0475,0,1.7897508741260708,34.21024912587393
MINNESOTA,1898,30.5,39.59166666666667,-2.7,80.6,23.91,-0.4116666666666666,0,4.293378496503692,26.206621503496308
MISSOURI,1898,30.0,54.125,18.3,86.7,54.57,2.9408333333333334,0,5.540944055944237,24.459055944055763
NEBRASKA,1898,21.0,47.11666666666667,9.5,87.4,20.0,0.7566666666666667,0,-2.698824300699215,23.698824300699215
ILLINOIS,1899,38.8,50.81666666666666,8.6,87.8,32.56,-0.38,0,7.526678321678716,31.27332167832128
INDIANA,1899,39.8,51.35,11.3,87.3,34.51,-1.2308333333333332,0,8.44739510489562,31.352604895104378
IOWA,1899,39.1,46.45,0.4,85.4,28.45,-0.6308333333333334,0,4.579388111888285,34.520611888111716
MINNESOTA,1899,32.8,38.333333333333336,-10.0,81.1,29.48,2.0633333333333335,0,6.233129370629555,26.56687062937044
